ID,Size,Protein Acr,length,charge,chargedensity,formulaC,formulaH,formulaN,formulaO,formulaS,tot,hydrogen,single,double,MW_modlamp,Gravy,Aromacity,IsoelectricPoint,Instability_index,SecStruct_helix,SecStruct_turn,SecStruct_sheet,Molar_extinction_coefficient_reduced,Molar_extinction_coefficient_oxidized,aliphatic_index,bomanindex,hydrophobic_ratio
RGB60049.1,105,1,105.0,-2.901,-0.0002400995159110415,539,826,136,171,3,1912,1043,1735,177,12081.51,-0.3942857142857143,0.12380952380952381,4.980766868591308,34.71904761904761,0.26666666666666666,0.3238095238095238,0.3904761904761905,14440,14440,82.66666666666666,1.9313333333333333,0.3619047619047619
WP_103240931.1,195,1,195.0,-17.844,-0.0007838289808510106,1004,1492,274,310,11,3583,1912,3224,359,22764.19,-0.6641025641025641,0.1282051282051282,4.60886936187744,34.519999999999996,0.3435897435897436,0.28205128205128205,0.3076923076923077,50420,50670,67.53846153846153,2.2953333333333332,0.3435897435897436
WP_086652143.1,179,1,179.0,-20.646,-0.0010210026061628086,888,1361,223,299,7,3187,1734,2892,295,20220.32,-0.3106145251396648,0.10055865921787709,4.386572074890137,54.459832402234625,0.4022346368715084,0.21787709497206703,0.34636871508379885,25900,25900,81.89944134078212,1.8282122905027933,0.39106145251396646
WP_012242545.1,144,1,144.0,-0.834,-4.9557429573782335e-05,757,1149,189,232,4,2698,1466,2448,250,16827.98,-0.5333333333333333,0.125,6.289711952209472,33.05208333333332,0.29166666666666663,0.29166666666666663,0.4027777777777778,41940,42065,82.43055555555554,1.7787499999999998,0.3194444444444444
WP_062681378.1,150,1,150.0,-19.684,-0.0011984133990459696,721,1113,185,244,3,2598,1423,2359,239,16424.07,0.013333333333333308,0.08666666666666667,4.110618782043456,34.32739999999999,0.34,0.2866666666666667,0.37333333333333335,11460,11460,98.33333333333333,1.5725333333333333,0.4266666666666667
AUT47029.1,155,1,155.0,-24.482,-0.0014552436204549643,733,1104,188,253,5,2632,1427,2378,254,16822.32,-0.09677419354838712,0.09032258064516129,4.053268241882324,37.79999999999999,0.3741935483870968,0.27741935483870966,0.3225806451612903,12950,12950,85.74193548387096,1.4424516129032259,0.4258064516129032
YP_003728.1,99,1,99.0,-9.788,-0.000837150745293379,531,814,128,166,1,1856,1013,1684,172,11691.060000000001,-0.45454545454545453,0.12121212121212122,4.605402183532715,10.182828282828286,0.3838383838383838,0.25252525252525254,0.41414141414141414,11460,11460,94.44444444444444,1.970909090909091,0.36363636363636365
YP_009230325.1,129,1,129.0,-19.049,-0.0012690602199020408,671,991,153,230,2,2356,1267,2124,232,15009.34,-0.5883720930232559,0.13953488372093023,4.0500284194946286,29.369844961240293,0.27906976744186046,0.2945736434108527,0.4263565891472868,17420,17420,77.67441860465115,1.8824806201550388,0.3178294573643411
ATG94602.1,164,1,164.0,13.43,0.0007578630406616375,771,1213,245,227,3,2853,1562,2597,256,17719.9,-0.5231707317073171,0.06707317073170732,11.091350364685056,44.23353658536587,0.3353658536585366,0.27439024390243905,0.27439024390243905,45490,45490,68.04878048780488,2.018414634146341,0.3597560975609756
WP_015013672.1,160,1,160.0,-3.099,-0.0001747769605728218,789,1192,206,232,13,2832,1534,2567,265,17730.19,-0.2575,0.11875,5.191184806823729,30.982499999999987,0.35625,0.30625,0.325,50420,50545,68.375,1.1529375,0.38125
WP_077670338.1,176,1,176.0,-2.734,-0.00013798804944756832,891,1324,230,263,8,3160,1705,2856,304,19812.33,-0.4056818181818182,0.13068181818181818,5.805841636657715,34.44261363636362,0.3068181818181818,0.30113636363636365,0.3352272727272727,50880,51005,72.55681818181819,1.3101704545454547,0.3465909090909091
KQD98891.1,175,1,175.0,-2.828,-0.0001441011031275748,872,1338,228,268,8,3140,1711,2855,285,19624.13,-0.42400000000000004,0.10285714285714286,5.658912849426269,30.166342857142833,0.34285714285714286,0.30857142857142855,0.34285714285714286,44920,45045,76.91428571428571,1.4995428571428573,0.3314285714285714
WP_049867009.1,177,1,177.0,-0.667,-3.406024117918904e-05,867,1333,231,270,6,3128,1708,2844,284,19581.97,-0.5062146892655367,0.096045197740113,6.428569602966308,25.98926553672315,0.3502824858757062,0.2768361581920904,0.3559322033898305,40910,40910,72.25988700564972,1.551864406779661,0.3333333333333333
WP_004824702.1,139,1,139.0,-23.717,-0.0014871252089574886,704,1041,173,242,3,2502,1339,2253,249,15947.24,-0.5323741007194245,0.11510791366906475,4.06662540435791,41.78273381294964,0.3165467625899281,0.2949640287769784,0.3669064748201439,21430,21555,83.5251798561151,1.922230215827338,0.34532374100719426
WP_075175686.1,92,1,92.0,-2.899,-0.0002918477921649086,442,683,113,137,3,1594,880,1451,143,9932.28,0.049999999999999996,0.08695652173913043,4.870215034484862,30.505434782608692,0.3695652173913043,0.25,0.3804347826086957,26470,26470,97.6086956521739,0.6698913043478261,0.42391304347826086
